id,category/id,category/name/ca,category/name/es,category/name/oc,scope/id,scope/name/ca,scope/name/es,scope/name/oc,participatory_space/id,participatory_space/url,component/id,title/ca,title/es,title/oc,description/ca,description/es,description/oc,budget/id,budget_amount,confirmed_votes,comments,created_at,url,related_proposals,related_proposal_titles,related_proposal_urls,scope/name/en
5,2209,SENSIBILITZACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Organització d'accions complementàries a l'Exposició SomNatura,"","","<p><strong>Antecedents</strong>: S’ha detectat que a l’Exposició Som Natura, inaugurada recentment i allotjada al Museu de Ciències Naturals de Barcelona, es dóna molt poca visibilitat a la tasca que realitzen les entitats ambientals per a la conservació del medi ambient.&nbsp;</p><p><strong>Objectiu</strong>: En el marc de l’Exposició Som Natura es vol donar visibilitat a les accions de voluntariat ambiental organitzades per les entitats, com a una opció més d’implicació ciutadana per a la conservació de la natura.</p><p><strong>Accions relacionades: </strong>Organitzar un cicle d’activitats de voluntariat, exclusives per als visitants de l’Exposició, vinculades a l’àmbit 6 (Actuem) i 7 (Vols participar en projectes d’estudi de la diversitat natural?) de l’exposició. Les activitats tindran lloc entre maig i novembre de 2019.&nbsp;</p><p>Com a <strong>resultats</strong> d’aquesta activitat s’estima:&nbsp;</p><p>– Els visitants de l’exposició hauran conegut les tasques de les entitats ambientals per la conservació de la natura mitjançant el voluntariat ambiental.</p><p>– Els participants a les jornades de voluntariat hauran pogut contribuir a conservar la diversitat natural de Catalunya.</p><p><br></p>","","",6,14000,7,0,2019-02-20 10:30:17 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/5,"","","",
6,2209,SENSIBILITZACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Creació de podcasts adreçats a la ciutadania i entitats ambientals sobre temes d'actualitat ambiental,"","","<p>Publicació d’un programa setmanal, que estarà allotjat al web de la Secretaria de Medi Ambient i Sostenibilitat, amb l’objectiu de sensibilitzar a la ciutadania en relació a la conservació de la natura. Al&nbsp;mateix temps, vol donar a conèixer les iniciatives de les entitats ambientals de Catalunya, que tenen per finalitat canviar el nostre estil de vida a favor d’un major respecte pel medi ambient i la natura.</p>","","",6,14700,17,0,2019-02-20 10:39:29 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/6,"","","",
7,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,"Elaboració d'una guia de models de gestió compartida de finques agràries i forestals per a la seva reconversió en centres agroecològics, culturals i educatius","","","<p>Creació d’una guia de model/s de gestió compartida de finques i explotacions agràries i forestals per facilitar la seva reconversió en centres agroecològics, culturals i educatius, que tinguin la preservació i millora de la biodiversitat i la sostenibilitat com a prioritat.&nbsp;</p><p>Acció que s'ha de relacionar amb el desenvolupament econòmic rural, i l’economia verda i circular. Aquesta guia hauria d’incloure també models reals d’èxit i unes sessions de formació territorials per a facilitar la divulgació i implementació de noves i innovadores propostes, per reforçar les iniciatives de conservació privada, cogestió i custòdia.</p><p><strong>Accions relacionades:</strong></p><p><span class=""ql-cursor"">﻿﻿﻿﻿</span>• Formació del grup de treball (multiprofessional), propietaris masovers i tècnics.</p><p>• Jornades de treball (fase participació)</p><p>• Jornada tècnica de presentació i debat oberta al públic.</p><p>• Redacció final disseny maquetació i presentació.</p><p><br></p>","","",6,12100,8,0,2019-02-20 10:39:56 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/7,"","","",
8,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,"Elaboració d'un estudi sobre el perfil professional de l'educador ambiental i del guia de natura (perfil, funcions i competències)","","","<p><strong>El projecte proposat pretén fer un primer pas definint quin és el perfil professional de la professional dedicada a l’educació ambiental i al guiatge de natura, i tenint en compte les seves funcions, identificar quines són les competències claus que es requereixen per desenvolupar les seves tasques amb èxit.</strong></p><p>Tots els temes relacionats amb el medi ambient, preocupen a la societat, organitzacions i ens públics. Per aquest motiu és necessari que tinguem a persones preparades i formades per poder portar a terme projectes d'educació ambiental, professionals excel·lents en aquest sector.</p><p>Les preguntes que ens fem són: q<strong>uè és necessari per ser una professional excel·lent en el sector del medi ambient i sostenibilitat que es dedica a l’educació ambiental i guiatge de natura?</strong> Quines són les competències claus d’aquestes professionals? </p><p>Actualment, hi ha un buit en l'educació i formació d'aquest àmbit, així com en la definició d'aquests coneixements i quins serien els plans de desenvolupament i/o formatius per assolir aquestes competències. Necessitem que el futur col·lectiu professional de l'educació ambiental sigui capaç de portar a terme les seves tasques amb tots els coneixements necessaris. </p><p>&nbsp;</p>","","",6,14500,10,0,2019-02-20 10:40:24 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/8,"","","",
9,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Elaboració d'un estudi sobre la formació que s'ofereix i l'habilitació dels professionals educadors ambientals,"","","<p>Actualment hi ha una variada i creixent oferta formativa en temes d'educació ambiental. Aquest estudi vol analitzar el contingut d'aquesta formació i proposar accions de millora de cara a impulsar el reconeixement professional.&nbsp;</p><p><strong>Accions relacionades:</strong></p><ul><li><span class=""ql-cursor"">﻿﻿﻿﻿﻿﻿</span>Creació grup de treball i dinamització de sessions de treball del Departament Ensenyament i del Departament de Territori i Sostenibilitat amb professionals relacionats amb la temàtica</li><li> Buidatges curriculars d’educació ambiental en els&nbsp;perfils professionals de biologia, ambientals, pedagogia, magisteri i cicles formatius. </li><li>Elaboració de proposta d'habilitació, si s'escau, per a professionals. </li></ul><p><br></p><p><br></p>","","",6,9600,8,0,2019-02-20 10:40:56 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/9,"","","",
10,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Dinamització d'un Grup de Treball interdisciplinar i multiprofessional per revisar recursos educatius sobre patrimoni natural i biodiversitat a Catalunya,"","","<p>Creació d’un grup de treball interdisciplinar i multiprofessional per revisar els recursos educatius actuals sobre el patrimoni natural i la biodiversitat a Catalunya. Recerca de referents d'aquest tipus de recursos a nivell europeu.&nbsp;</p><p>Elaborar propostes metodològiques adreçades a&nbsp;actors prioritaris (docents/educadors-guies) per facilitar l'ús d'aquest recursos i la&nbsp;introducció d’iniciatives de ciència ciutadana sobre biodiversitat, aprenentatge servei i servei a la comunitat per a la conservació de la natura.&nbsp;</p><p><strong>Accions relacionades: </strong></p><p>• Revisió de l'educació ambiental i els criteris de qualitat:&nbsp;àmbits d’acció i recursos didàctics principals utilitzats.&nbsp;</p><p>• Redacció d'una categorització i fonamentació pedagògica i definició de línies estratègiques i desenvolupament metodològics.</p><p>• Posada en comú i validació.</p>","","",6,14800,13,0,2019-02-20 10:41:19 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/10,"","","",
11,2209,SENSIBILITZACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,"Organització de  jornades i tallers per promoure, divulgar i dinamitzar projectes de ciència ciutadana.","","","<p>Promoure, divulgar i dinamitzar projectes de ciència ciutadana que&nbsp;enforteixin el Tercer Sector Ambiental, fent xarxa per a millorar la participació ciutadana individual i col·lectiva i fomentar el voluntariat per a la conservació de la natura.</p><p><strong>Accions relacionades:</strong></p><p>• Formació i dinamització amb trobades periòdiques d'un grup de treball (un membre de cada una dels programes de ciència ciutadana que es seleccionin) amb altres professionals de la temàtica. Sortides de camp acompanyats dels organitzadors.</p><p>• Organització de&nbsp;jornades territorials per a públic en general.</p><p>• Creació de document per a la divulgació a col·lectius/actors clau.</p>","","",6,14999,16,0,2019-02-20 10:41:43 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/11,"","","",
12,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Organització d'una formació i un assessorament sobre el servei comunitari adreçada a entitats ambientals. Disseny de projectes de servei comunitari,"","","<p>L'impuls del servei comunitari per a l'alumnat de secundària obligatòria és una acció que vol promoure que els alumnes experimentin i protagonitzin accions de compromís cívic, aprenguin en l'exercici actiu de la ciutadania, i posin en joc els seus coneixements i capacitats al servei de la comunitat.</p><p>El Servei comunitari, tal com s'estableix en el currículum de l'educació secundària, és una acció educativa que, de forma obligatòria, ha de realitzar tot l'alumnat a 3r o 4t d'ESO.&nbsp;</p><p>En aquests sentit, l'aprenentatge servei és una proposta educativa que combina processos d'aprenentatge i de servei a la comunitat en un sol projecte ben articulat en el qual els participants es formen tot treballant sobre necessitats reals de l'entorn amb l'objectiu de millorar-lo.</p><p><strong>Accions relacionades: </strong></p><p>• Organitzar sessions de formació sobre Aprenentatge Servei i Servei Comunitari Ambiental a les entitats</p><p>• Oferir un servei d'assessorament a les entitats per transformar les seves propostes educatives en projectes de SCAmbiental</p><p>• Divulgar les propostes de les entitats ambientals entre els centres educatius i els serveis territorials del Departament d'Educació</p><p>• Donar suport a les entitats ambientals en l'acompanyament a l'alumnat dels projectes de servei comunitari</p>","","",6,14999,8,0,2019-02-20 10:42:02 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/12,"","","",
13,2210,RECURSOS I FORMACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Elaboració d'una diagnosi i anàlisi  de la situació i condicions laborals dels educadors ambientals de Catalunya. Comparació amb altres països.,"","","<p>Per poder generar canvis significatius cap a la conservació del patrimoni natural cal una educació ambiental de qualitat i aquesta no podrà ser sense unes condicions laborals dignes.</p><p>Per això, es proposa fer una primera diagnosi de les condicions laborals que tenen els guies i els educadors ambientals: tipus de conveni, horaris, si són assalariats o autònoms, etc. i fer una publicació amb els resultats.&nbsp;</p><p>Aquesta proposta contemplaria, entre d'altres, fer una revisió de la documentació relacionada a nivell català i internacional i fer una anàlisi quantitativa i qualitativa, a través d'entrevistes personals a educadors i grups de discussió. </p>","","",6,14999,9,0,2019-02-20 10:42:23 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/13,"","","",
14,2209,SENSIBILITZACIÓ,"","",17,Medi ambient,Medio ambiente,Miei ambient,197,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat?participatory_process_slug=pressupparticipatiuTSAcat,2449,Organització de jornades informatives adreçades a  afiliats dels sindicats i altres col·lectius amb capacitat de mobilització social en relació amb l'estratègia ÉsNatura.,"","","<p>Una aliança entre entitats i sindicats per tal de sensibilitzar sobre el Patrimoni Natural arribaria a un part important de la societat per la seva implicació en la conservació tal com marca l’estratègia per la biodiversitat.</p><p>Ja en el segle XIX el sindicalisme de Nova York es preocupava de la conservació del patrimoni natural perquè entenien que el món del treball i la salut va estretament lligat a la Natura.</p><p><strong>Accions relacionades: </strong></p><ul><li>Elaboració de documentació específica de comunicació de l'Estratègia</li><li>Incloure als butlletins sindicals i col·lectius articles específics</li><li>Parada amb documentació per repartir a les festes/assemblees de les organitzacions (per exemple, a la Festa de treball digne)</li><li>Oferta d'itineraris de natura i accions de conservació adreçades a aquests col.lectius durant la Setmana de la Natura </li></ul>","","",6,14999,6,0,2019-02-20 10:42:40 +0100,http://participa.gencat.cat/processes/pressupparticipatiuTSAcat/f/2449/budgets/6/projects/14,"","","",
