id,title/ca,body/ca,endorsements/total_count,comments,attachments,followers,published_at,is_amend,published_at_dies
87446,Participar Assemblea Ciutadana pel Clima de Catalunya,"Buenos días, me gustaría participar en la asamblea ciudadana para
el clima de Cataluña.

Es un tema de mucho interés y actual, que me interesa bastante, y
así poder aportar mi granito de arena.

Muchas gracias,",4,0,0,2,2023-10-09 11:27:07+00:00,False,123.93734953703704
87447,Assemblea ciutadana pel clima de Catalunya,"M'agradaria participar en aquesta assemblea pel clima, en cas que
no rebi la carta aleatòria.

És un tema que m'interessa moltíssim i em poso a disposició per a
poder participar.

Gràcies.",1,1,0,3,2023-10-10 08:38:57+00:00,False,123.05413194444445
87452,"Transició a producció, comerç i consum ecològics locals","La producció, comerç i consum d'aliments no ecològics i no locals
haurien d'estar prohibits. Imprescindible planificació transició
activa i estable en sentit fiscal i autonomia local màxima
possible, prioritzant solidaritat veïnal amb territoris propers
fent xarxa de seguretat. Si un territori és deficitari, primer ha
de veure si el pot produir, si no, ha de veure quin territori més
proper possible pot negociar la seva obtenció. Si n'és
excedentari, a la inversa. Balanços han d ser púbics",1,0,0,2,2023-10-13 10:32:35+00:00,False,119.9752199074074
87453,"L'aigua, el principal aliment.","La major part dels pous catalans ni són legals ni es fa el seu
monitoratge en continu de manera pública i transparent. Les
dessaladores no són sostenibles, haurien de ser amb solar tèrmica
passiva i la salmorra ha de deixar de ser un residu. Totes les
depuradores haurien de tenir terciari. Tots els edificis i
estructures artificials haurien de recollir i emmagatzemar aigua
de pluja com fins fa 100 anys. Ja s'ha demostrat que el regadiu
en terreny de secà no és sostenible en el temps.",3,0,0,3,2023-10-13 10:40:31+00:00,False,119.96971064814815
87454,Prohibir construccions no bioclimàtiques,"La normativa no hauria de permetre cap construcció ni edificació
que no tingui balanç energètic, materials, recollida i
emmagatzemament d'aigua positius. Cap projecte d'obra nova o
reforma ha de rebre el permís sense balanç positiu. Cal nous
recursos als serveis d'inspecció i sanció. Les inspeccions han de
ser també posteriors a disposar de les construccions funcionals
per tal d'assegurar la seva funcionalitat i corregir defectes o
actualitzar mesures. Transició amb fiscalitat progressiva",3,0,0,3,2023-10-13 10:50:31+00:00,False,119.96276620370371
87458,Projectes del futur,"Hola, sóc un jove graduat en enginyeria; M'agradaria poder
participar a l'Assamblea per poder aportar els meus coneixements,
creativitat i posar la meva educació medioambiental rebuda a la
carrera a disposició del poble, oferint-me a participar en
projectes que fagin Catalunya més neta i sostenible. Per mi seria
un plaer escoltar les necessitats que tenim i executar els
projectes que les cobreixin o inclús poder proposar algun dels
meus projectes personals que us podrien interessar.",1,0,0,1,2023-10-14 14:38:54+00:00,False,118.80416666666666
87460,Ordenació medioambiental. Tractament dels residus. Circuit d'aigües. Aprofitament forestal. Producció energètica. ,"1.- Residus: Es podria instal.lar màquines de recollida de
llaunes i ampolles de plàstic, amb gratificació de tiquets per
gastar en el comerç local. També es podria reinstaurar l'ús del
vidre.

2.- Els edificis haurien de tenir un doble circuit d'aigües que
recollis la del lavabo, rentadora i rentavaixelles per usar-ho en
el vater.

3.- Neteja i recuperació de boscos.

4.- Instal.lació de plaques solars a les teulades de tots els
edificis públics.",5,0,0,2,2023-10-14 14:58:27+00:00,False,118.79059027777778
87461,Procés de selecció ,"Referent al procés de selecció, no entenc perquè s envíen
aleatòriament la oportunitat de poder participar. Hi ha gent que
no li pot interessar participar o li manquen idees, en canvi
altre/as amb idees no. Com a molt poden ser llegits, a part dels
100 que hagin estat escollits.

Jo me'n vaig assabentar ahir d'aquest procés participatiu,
faltaria més difusió i que presenti propostes qui en tingui, no
pas a qui li toqui.

Gràcies.",3,3,0,1,2023-10-15 16:24:45+00:00,False,117.73065972222223
87462,"Decreixement, Aigua i Sobirania alimentària agroecològica","Estem entrant en un caos climàtic terrible. Aigua i Sobirania
alimentària agroecològica haurien de vestir tot el procés de
l'assamblea. Sense aquests elements assegurats no hi pot haver
vida. Això només es pot garantir si comencem a parlar de
Decreixement en molts àmbits.

Creixement infinit en un planeta finit, no és possible.",5,0,0,4,2023-10-15 19:02:35+00:00,False,117.62105324074074
87464,Apropament entre generació i consum d'energia en polígons industrials,"Crec que caldria potenciar l'apropament entre la producció i el
consum d'energia. Donaria lloc a una descentralització, evitant
grans infraestructures i pèrdues energètiques en el seu
transport. En el cas de l'energia elèctrica i els polígons
industrials, proposo incentivar, per no dir obligar, que totes
les naus industrials aprofitin els sostres per la instal·lació de
plaques solars, sigui per autoconsum o per subministrar energia
elèctrica al propi polígon industrial.",1,1,0,2,2023-10-15 20:58:48+00:00,False,117.54034722222222
